Casino,Gross Receipts,Gross Retail Receipts,Gross Online Receipts,Date,Online_co,Betting Type,Month,Total
Blue Chip Casino,5006329,,"5,006,329.48",12-01-2020,BC - in.sportsbook.FanDuel.com,online,,
Blue Chip Casino,90098,"90,098.25",,12-02-2020,,Retail,,
Horseshoe Hammond,27569,,"27,568.91",12-01-2020,HH - in.CaesarsOnline.com,online,,
Horseshoe Hammond,108609,,"108,609.14",12-01-2020,HH - IN.Unibet.com,online,,
Horseshoe Hammond,1076031,"1,076,030.96",,12-01-2020,,Retail*,,
Belterra Casino,2875569,,"2,875,568.93",12-01-2020,BT - Sports.IN.BetMGM.com,online,,
Belterra Casino,-563052,"-563,051.51",,12-01-2020,,Retail,,
Caesars Southern Indiana,161869,"161,869.16",,12-01-2020,,Retail,,
French Lick Resort,803868,,"803,868.49",12-01-2020,FL - IN.betrivers.com,online,,
French Lick Resort,-47363,"-47,363.02",,12-01-2020,,Retail,,
Hollywood Lawrenceburg,1243577,,"1,243,576.76",12-01-2020,HW - IN.PointsBet.com,online,,
Hollywood Lawrenceburg,2078823,"2,078,822.50",,12-01-2020,,Retail,,
Rising Star Casino,10431,"10,431.21",,12-01-2020,,Retail,,
Rising Star Casino,14505,,"14,504.54",12-01-2020,RS - IN.BetAmerica.com,online,,
Tropicana Evansville,284293,"284,293.05",,12-01-2020,,Retail,,
Tropicana Evansville,632634,,"632,634.33",12-01-2020,TP - WilliamHill.com,online,,
Harrah's Hoosier Park,171497,"171,497.27",,12-01-2020,,Retail,,
Harrah's Hoosier Park,286627,"286,626.88",,12-01-2020,,Retail,,
Harrah's Hoosier Park,171852,"171,851.59",,12-01-2020,,Retail,,
Indiana Grand,300515,"300,514.73",,12-01-2020,,Retail,,
Indiana Grand,380452,"380,452.40",,12-01-2020,,Retail,,
,,,,,,,Dec-2020 Retail Total:,"6,076,048.33"
,,,,,,,Dec-2020 Online Total:,"15,927,557.56"
Ameristar Casino,9360473,,"9,360,473.21",01-01-2021,AS - Sportsbook.DraftKings.com,online,,
Ameristar Casino,134301,,"134,301.33",01-01-2021,AS - theScore.bet,online,,
Ameristar Casino,1239633,"1,239,632.57",,01-01-2021,,Retail,,
